Office No Clean,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Office Group Size,Cash At Bank,Net Assets,Turnover,Source,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Investigative Priority,Risk Tier (Objective),Public Linkage Category,Priority Entity,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes
436,436.0,Streamgenz Ltd,16640578,Yes,2025-08-11,Active,,"Office 436, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16640578,https://find-and-update.company-information.service.gov.uk/company/16640578/officers,https://find-and-update.company-information.service.gov.uk/company/16640578/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
437,437.0,Zohaib Mart Ltd,16645924,Yes,2025-08-12,Active,,"Office 437, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16645924,https://find-and-update.company-information.service.gov.uk/company/16645924/officers,https://find-and-update.company-information.service.gov.uk/company/16645924/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
438,438.0,Urban Spark Cleaners Ltd,16645865,Yes,2025-08-12,Active,,"Office 438, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16645865,https://find-and-update.company-information.service.gov.uk/company/16645865/officers,https://find-and-update.company-information.service.gov.uk/company/16645865/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
439,439.0,Sameer Sohail Ltd,16649703,Yes,2025-08-14,Active,,"Office 439, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16649703,https://find-and-update.company-information.service.gov.uk/company/16649703/officers,https://find-and-update.company-information.service.gov.uk/company/16649703/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
440,440.0,Digi Seo Firm Ltd,16649709,Yes,2025-08-14,Active,,"Office 440, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16649709,https://find-and-update.company-information.service.gov.uk/company/16649709/officers,https://find-and-update.company-information.service.gov.uk/company/16649709/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
441,441.0,Alltimesembroidery Ltd,16650803,Yes,2025-08-14,Active,,"Office 441, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16650803,https://find-and-update.company-information.service.gov.uk/company/16650803/officers,https://find-and-update.company-information.service.gov.uk/company/16650803/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
442,442.0,Prime Cost Ltd,16652270,Yes,2025-08-15,Active,,"Office 442, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16652270,https://find-and-update.company-information.service.gov.uk/company/16652270/officers,https://find-and-update.company-information.service.gov.uk/company/16652270/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
444,444.0,Micro Writer Ltd,16656900,Yes,2025-08-18,Active,,"Office 444, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16656900,https://find-and-update.company-information.service.gov.uk/company/16656900/officers,https://find-and-update.company-information.service.gov.uk/company/16656900/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
445,445.0,Mx Stars Ltd,16662875,Yes,2025-08-20,Active,,"Office 445, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16662875,https://find-and-update.company-information.service.gov.uk/company/16662875/officers,https://find-and-update.company-information.service.gov.uk/company/16662875/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
446,446.0,Ha Creatives Ltd,16658437,Yes,2025-08-19,Active,,"Office 446, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16658437,https://find-and-update.company-information.service.gov.uk/company/16658437/officers,https://find-and-update.company-information.service.gov.uk/company/16658437/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
447,447.0,Fq Software Services Ltd,16664255,Yes,2025-08-21,Active,,"Office 447, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16664255,https://find-and-update.company-information.service.gov.uk/company/16664255/officers,https://find-and-update.company-information.service.gov.uk/company/16664255/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
448,448.0,Crown Saga Ltd,16664295,Yes,2025-08-21,Active,,"Office 448, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16664295,https://find-and-update.company-information.service.gov.uk/company/16664295/officers,https://find-and-update.company-information.service.gov.uk/company/16664295/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
449,449.0,Nexamech Media Ltd,16666996,Yes,2025-08-22,Active,,"Office 449, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16666996,https://find-and-update.company-information.service.gov.uk/company/16666996/officers,https://find-and-update.company-information.service.gov.uk/company/16666996/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
450,450.0,Armantariq Ltd,16666964,Yes,2025-08-22,Active,,"Office 450, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16666964,https://find-and-update.company-information.service.gov.uk/company/16666964/officers,https://find-and-update.company-information.service.gov.uk/company/16666964/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
451,451.0,Righthand Security Ltd,16675117,Yes,2025-08-27,Active,,"Office 451, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,Bank,Net Assets,Turnover,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16675117,https://find-and-update.company-information.service.gov.uk/company/16675117/officers,https://find-and-update.company-information.service.gov.uk/company/16675117/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
452,452.0,Latif Ltd,16677568,Yes,2025-08-28,Active,,"Office 452, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16677568,https://find-and-update.company-information.service.gov.uk/company/16677568/officers,https://find-and-update.company-information.service.gov.uk/company/16677568/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
453,453.0,Ali Bahaar Enterprises Ltd,16681875,Yes,2025-08-29,Active,,"Office 453, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16681875,https://find-and-update.company-information.service.gov.uk/company/16681875/officers,https://find-and-update.company-information.service.gov.uk/company/16681875/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
454,454.0,Bitsgroup Tech Ltd,16691940,Yes,2025-09-03,Active,,"Office 454, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16691940,https://find-and-update.company-information.service.gov.uk/company/16691940/officers,https://find-and-update.company-information.service.gov.uk/company/16691940/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
455,455.0,Uraan Host Ltd,16687524,Yes,2025-09-02,Active,,"Office 455, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16687524,https://find-and-update.company-information.service.gov.uk/company/16687524/officers,https://find-and-update.company-information.service.gov.uk/company/16687524/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
456,456.0,Designzpoiint Ltd,16687547,Yes,2025-09-02,Active,,"Office 456, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16687547,https://find-and-update.company-information.service.gov.uk/company/16687547/officers,https://find-and-update.company-information.service.gov.uk/company/16687547/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
457,457.0,Noosham Ltd,16691822,Yes,2025-09-03,Active,,"Office 457, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16691822,https://find-and-update.company-information.service.gov.uk/company/16691822/officers,https://find-and-update.company-information.service.gov.uk/company/16691822/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
458,458.0,Bright Era Ltd,16691836,Yes,2025-09-03,Active,,"Office 458, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16691836,https://find-and-update.company-information.service.gov.uk/company/16691836/officers,https://find-and-update.company-information.service.gov.uk/company/16691836/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
459,459.0,Arooj Mart Limited,16696239,Yes,2025-09-05,Active,,"Office 459, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16696239,https://find-and-update.company-information.service.gov.uk/company/16696239/officers,https://find-and-update.company-information.service.gov.uk/company/16696239/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
460,460.0,All Zone Retail Limited,16696246,Yes,2025-09-05,Active,,"Office 460, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16696246,https://find-and-update.company-information.service.gov.uk/company/16696246/officers,https://find-and-update.company-information.service.gov.uk/company/16696246/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
461,461.0,B2b Hosting Club Ltd,16696567,Yes,2025-09-05,Active,,"Office 461, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16696567,https://find-and-update.company-information.service.gov.uk/company/16696567/officers,https://find-and-update.company-information.service.gov.uk/company/16696567/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
462,462.0,Authnity Ltd,16700327,Yes,2025-09-08,Active,,"Office 462, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16700327,https://find-and-update.company-information.service.gov.uk/company/16700327/officers,https://find-and-update.company-information.service.gov.uk/company/16700327/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
463,463.0,Field Tech Technologies Ltd,16704808,Yes,2025-09-09,Active,,"Office 463, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16704808,https://find-and-update.company-information.service.gov.uk/company/16704808/officers,https://find-and-update.company-information.service.gov.uk/company/16704808/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
464,464.0,Flash Web Hosters Ltd,16708666,Yes,2025-09-10,Active,,"Office 464, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16708666,https://find-and-update.company-information.service.gov.uk/company/16708666/officers,https://find-and-update.company-information.service.gov.uk/company/16708666/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
465,465.0,Eyecon Writer Ltd,16707559,Yes,2025-09-10,Active,,"Office 465, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16707559,https://find-and-update.company-information.service.gov.uk/company/16707559/officers,https://find-and-update.company-information.service.gov.uk/company/16707559/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
466,466.0,Algo Rise Tech Ltd,16716373,Yes,2025-09-15,Active,,"Office 466, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16716373,https://find-and-update.company-information.service.gov.uk/company/16716373/officers,https://find-and-update.company-information.service.gov.uk/company/16716373/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
467,467.0,Bagsmania Ltd,16716626,Yes,2025-09-15,Active,,"Office 467, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16716626,https://find-and-update.company-information.service.gov.uk/company/16716626/officers,https://find-and-update.company-information.service.gov.uk/company/16716626/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
469,469.0,Zentrobuy Ltd,16719593,Yes,2025-09-15,Active,,"Office 469, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16719593,https://find-and-update.company-information.service.gov.uk/company/16719593/officers,https://find-and-update.company-information.service.gov.uk/company/16719593/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
470,470.0,Rizor Tech Ltd,16720607,Yes,2025-09-16,Active,,"Office 470, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,Bank,Net Assets,Turnover,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16720607,https://find-and-update.company-information.service.gov.uk/company/16720607/officers,https://find-and-update.company-information.service.gov.uk/company/16720607/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
471,471.0,The Style Maison Ltd,16726008,Yes,2025-09-18,Active,,"Office 471, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16726008,https://find-and-update.company-information.service.gov.uk/company/16726008/officers,https://find-and-update.company-information.service.gov.uk/company/16726008/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
472,472.0,Flix Writers Ltd,16726059,Yes,2025-09-18,Active,,"Office 472, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16726059,https://find-and-update.company-information.service.gov.uk/company/16726059/officers,https://find-and-update.company-information.service.gov.uk/company/16726059/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
473,473.0,Riserank Digital Ltd,16727200,Yes,2025-09-18,Active,,"Office 473, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16727200,https://find-and-update.company-information.service.gov.uk/company/16727200/officers,https://find-and-update.company-information.service.gov.uk/company/16727200/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
474,474.0,Alpha Care Recruitment Ltd,15942792,Yes,2024-09-08,Active,,"Office 474, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15942792,https://find-and-update.company-information.service.gov.uk/company/15942792/officers,https://find-and-update.company-information.service.gov.uk/company/15942792/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
475,475.0,Sts Visualz Ltd,15970953,Yes,2024-09-22,Active,,"Office 475, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15970953,https://find-and-update.company-information.service.gov.uk/company/15970953/officers,https://find-and-update.company-information.service.gov.uk/company/15970953/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
476,476.0,Mohsin Hassan Ltd,16729616,Yes,2025-09-19,Active,,"Office 476, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16729616,https://find-and-update.company-information.service.gov.uk/company/16729616/officers,https://find-and-update.company-information.service.gov.uk/company/16729616/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
477,477.0,Segit Firm Ltd,16735950,Yes,2025-09-23,Active,,"Office 477, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16735950,https://find-and-update.company-information.service.gov.uk/company/16735950/officers,https://find-and-update.company-information.service.gov.uk/company/16735950/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
478,478.0,Muhammad Waqas World Ltd,16736384,Yes,2025-09-23,Active,,"Office 478, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16736384,https://find-and-update.company-information.service.gov.uk/company/16736384/officers,https://find-and-update.company-information.service.gov.uk/company/16736384/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
479,479.0,M A Links & Digital Ltd,16741585,Yes,2025-09-25,Active,,"Office 479, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16741585,https://find-and-update.company-information.service.gov.uk/company/16741585/officers,https://find-and-update.company-information.service.gov.uk/company/16741585/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
480,480.0,Indivista Ltd,16741681,Yes,2025-09-25,Active,,"Office 480, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16741681,https://find-and-update.company-information.service.gov.uk/company/16741681/officers,https://find-and-update.company-information.service.gov.uk/company/16741681/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
481,481.0,Elite Thread Ltd,16742659,Yes,2025-09-25,Active,,"Office 481, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16742659,https://find-and-update.company-information.service.gov.uk/company/16742659/officers,https://find-and-update.company-information.service.gov.uk/company/16742659/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
482,482.0,Hassan Digitizing Services Ltd,16742941,Yes,2025-09-25,Active,,"Office 482, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16742941,https://find-and-update.company-information.service.gov.uk/company/16742941/officers,https://find-and-update.company-information.service.gov.uk/company/16742941/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
483,483.0,Trendy House Ltd,16749563,Yes,2025-09-29,Active,,"Office 483, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16749563,https://find-and-update.company-information.service.gov.uk/company/16749563/officers,https://find-and-update.company-information.service.gov.uk/company/16749563/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
484,484.0,Easyway Visa Services Ltd,16751773,Yes,2025-09-30,Active,,"Office 484, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16751773,https://find-and-update.company-information.service.gov.uk/company/16751773/officers,https://find-and-update.company-information.service.gov.uk/company/16751773/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
485,485.0,Luminex Corporation Ltd,16751957,Yes,2025-09-30,Active,,"Office 485, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16751957,https://find-and-update.company-information.service.gov.uk/company/16751957/officers,https://find-and-update.company-information.service.gov.uk/company/16751957/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
486,486.0,Binfaisal Ltd,16758187,Yes,2025-10-02,Active,,"Office 486, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16758187,https://find-and-update.company-information.service.gov.uk/company/16758187/officers,https://find-and-update.company-information.service.gov.uk/company/16758187/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
487,487.0,Clickiedge Ltd,16758053,Yes,2025-10-02,Active,,"Office 487, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16758053,https://find-and-update.company-information.service.gov.uk/company/16758053/officers,https://find-and-update.company-information.service.gov.uk/company/16758053/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
488,488.0,Wearnock Ltd,16758488,Yes,2025-10-02,Active,,"Office 488, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16758488,https://find-and-update.company-information.service.gov.uk/company/16758488/officers,https://find-and-update.company-information.service.gov.uk/company/16758488/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
489,489.0,Neo Writer Ltd,16758391,Yes,2025-10-02,Active,,"Office 489, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16758391,https://find-and-update.company-information.service.gov.uk/company/16758391/officers,https://find-and-update.company-information.service.gov.uk/company/16758391/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
490,490.0,Custom Box Craft Ltd,16764212,Yes,2025-10-06,Active,,"Office 490, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16764212,https://find-and-update.company-information.service.gov.uk/company/16764212/officers,https://find-and-update.company-information.service.gov.uk/company/16764212/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
491,491.0,Beyond Boundaries Seo Agency Ltd,16764714,Yes,2025-10-06,Active,,"Office 491, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16764714,https://find-and-update.company-information.service.gov.uk/company/16764714/officers,https://find-and-update.company-information.service.gov.uk/company/16764714/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
492,492.0,Irank Solutions Ltd,16723767,Yes,2025-09-17,Active,,"Office 492, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16723767,https://find-and-update.company-information.service.gov.uk/company/16723767/officers,https://find-and-update.company-information.service.gov.uk/company/16723767/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
493,493.0,Beast Hunger Ltd,16767067,Yes,2025-10-06,Active,,"Office 493, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,Bank,Net Assets,Turnover,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16767067,https://find-and-update.company-information.service.gov.uk/company/16767067/officers,https://find-and-update.company-information.service.gov.uk/company/16767067/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
494,494.0,Saya Travels Ltd,16766911,Yes,2025-10-06,Active,,"Office 494, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16766911,https://find-and-update.company-information.service.gov.uk/company/16766911/officers,https://find-and-update.company-information.service.gov.uk/company/16766911/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
495,495.0,En Enterprise Ltd,16770800,Yes,2025-10-08,Active,,"Office 495, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16770800,https://find-and-update.company-information.service.gov.uk/company/16770800/officers,https://find-and-update.company-information.service.gov.uk/company/16770800/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
496,496.0,Sajad Mart Ltd,16757469,Yes,2025-10-02,Active,,"Office 496, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16757469,https://find-and-update.company-information.service.gov.uk/company/16757469/officers,https://find-and-update.company-information.service.gov.uk/company/16757469/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
