#,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Cash At Bank,Net Assets,Turnover,Investigative Priority,Risk Tier (Objective),Priority Entity,Public Linkage Category,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Source,Notes,Office Group Size,2026-04-01 Web Update,2026-04-01 Web Update URLs,Project Dunstall Mirror Mention,Project Dunstall Mirror Notes,Project Dunstall Mirror URL,2026-04-01 Ezone/HopeTex Update,2026-04-01 Ezone/HopeTex Update URLs
330,366,Retail N Wholesale Ltd,16397876,Yes,2025-04-22,Active,,"Office 366, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16397876,https://find-and-update.company-information.service.gov.uk/company/16397876/officers,https://find-and-update.company-information.service.gov.uk/company/16397876/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
331,367,Growfasttech Ltd,16397675,Yes,2025-04-22,Active,,"Office 367, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16397675,https://find-and-update.company-information.service.gov.uk/company/16397675/officers,https://find-and-update.company-information.service.gov.uk/company/16397675/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
332,368,Wre Content Publishers Limited,16397866,Yes,2025-04-22,Active,,"Office 368, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16397866,https://find-and-update.company-information.service.gov.uk/company/16397866/officers,https://find-and-update.company-information.service.gov.uk/company/16397866/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
333,369,Web Pixels Studio Ltd,16398177,Yes,2025-04-22,Active,,"Office 369, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16398177,https://find-and-update.company-information.service.gov.uk/company/16398177/officers,https://find-and-update.company-information.service.gov.uk/company/16398177/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
334,370,Molly Love Ltd,16398688,Yes,2025-04-22,Active,,"Office 370, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16398688,https://find-and-update.company-information.service.gov.uk/company/16398688/officers,https://find-and-update.company-information.service.gov.uk/company/16398688/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
335,371,Techliora Ltd,16402320,Yes,2025-04-23,Active,,"Office 371, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16402320,https://find-and-update.company-information.service.gov.uk/company/16402320/officers,https://find-and-update.company-information.service.gov.uk/company/16402320/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
336,372,Net Fusion Tech Services Limited,16397389,Yes,2025-04-21,Active,,"Office 372, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,PRIORITY,Yes,IT / web / SEO services,Public IT and digital-services node. Public website lists same office and offers web/mobile/cloud/SEO services.,"Companies House and public website both place Net Fusion Tech Services at Office 372 with IT consultancy, IT services and advertising SICs.",https://find-and-update.company-information.service.gov.uk/company/16397389 | https://find-and-update.company-information.service.gov.uk/company/16397389/officers | https://netfusiontechservices.com/ | https://netfusiontechservices.com/contact/,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16397389,https://find-and-update.company-information.service.gov.uk/company/16397389/officers,https://find-and-update.company-information.service.gov.uk/company/16397389/filing-history,Companies House + netfusiontechservices.com,opengovuk,,,,,Yes,Repository README names Net Fusion Tech Services Ltd at Office 372 as a central node / payment gateway bridge. This is a repository claim and not an official filing description.,https://github.com/RE3CON/Project-Dunstall-Mirror,"Public bridge to Ezone Global complaints: BBB Scam Tracker ID 1199897 says a buyer paid through PayPal for ezonesglobal.com and that Net Fusion Tech Services Limited appeared on the payment confirmation. Companies House and the Net Fusion public contact page both place the company at Office 372, 85 Dunstall Hill. Trustpilot / BBB complaints around Ezone also describe FedEx tracking mismatches and wrong-address delivery evidence.",https://find-and-update.company-information.service.gov.uk/company/16397389 | https://netfusiontechservices.com/contact/ | https://www.bbb.org/scamtracker/lookupscam/1199897 | https://www.bbb.org/scamtracker/lookupscam/1236472 | https://www.trustpilot.com/review/ezoneglobal.us
337,373,Social Buddies Ltd,16406891,Yes,2025-04-24,Active,,"Office 373, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16406891,https://find-and-update.company-information.service.gov.uk/company/16406891/officers,https://find-and-update.company-information.service.gov.uk/company/16406891/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
338,374,Urban Lettings & Management Company Ltd,16409626,Yes,2025-04-25,Active,,"Office 374, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16409626,https://find-and-update.company-information.service.gov.uk/company/16409626/officers,https://find-and-update.company-information.service.gov.uk/company/16409626/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
339,375,New Brain Solutions Ltd,16408702,Yes,2025-04-25,Active,,"Office 375, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16408702,https://find-and-update.company-information.service.gov.uk/company/16408702/officers,https://find-and-update.company-information.service.gov.uk/company/16408702/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
340,376,Ali Mahmood Khan Ltd,16415517,Yes,2025-04-29,Active,,"Office 376, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16415517,https://find-and-update.company-information.service.gov.uk/company/16415517/officers,https://find-and-update.company-information.service.gov.uk/company/16415517/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
341,377,Studio Aurea Ltd,16420006,Yes,2025-04-30,Active,,"Office 377, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16420006,https://find-and-update.company-information.service.gov.uk/company/16420006/officers,https://find-and-update.company-information.service.gov.uk/company/16420006/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
342,378,Woxen Ltd,16420025,Yes,2025-04-30,Active,,"Office 378, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16420025,https://find-and-update.company-information.service.gov.uk/company/16420025/officers,https://find-and-update.company-information.service.gov.uk/company/16420025/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
343,379,Coder Layer Ltd,16423237,Yes,2025-05-01,Active,,"Office 379, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16423237,https://find-and-update.company-information.service.gov.uk/company/16423237/officers,https://find-and-update.company-information.service.gov.uk/company/16423237/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
344,380,Rise Tech Revolutions Ltd,16423162,Yes,2025-05-01,Active,,"Office 380, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16423162,https://find-and-update.company-information.service.gov.uk/company/16423162/officers,https://find-and-update.company-information.service.gov.uk/company/16423162/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/lursoft,,,,,,,,,
345,381,Geni Tech Services Ltd,16423250,Yes,2025-05-01,Active,,"Office 381, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16423250,https://find-and-update.company-information.service.gov.uk/company/16423250/officers,https://find-and-update.company-information.service.gov.uk/company/16423250/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
346,382,Pixel Pulse Sol Ltd,16425821,Yes,2025-05-02,Active,,"Office 382, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16425821,https://find-and-update.company-information.service.gov.uk/company/16425821/officers,https://find-and-update.company-information.service.gov.uk/company/16425821/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
347,383,Ai Spotlights Ltd,16429969,Yes,2025-05-06,Active,,"Office 383, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16429969,https://find-and-update.company-information.service.gov.uk/company/16429969/officers,https://find-and-update.company-information.service.gov.uk/company/16429969/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
348,384,Revive Click Ltd,16429896,Yes,2025-05-06,Active,,"Office 384, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16429896,https://find-and-update.company-information.service.gov.uk/company/16429896/officers,https://find-and-update.company-information.service.gov.uk/company/16429896/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
349,385,Itl IInstituti Ltd,16389526,Yes,2025-04-15,Active,,"Office 385, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16389526,https://find-and-update.company-information.service.gov.uk/company/16389526/officers,https://find-and-update.company-information.service.gov.uk/company/16389526/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
350,386,Supportnix Ltd,16431281,Yes,2025-05-06,Active,,"Office 386, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16431281,https://find-and-update.company-information.service.gov.uk/company/16431281/officers,https://find-and-update.company-information.service.gov.uk/company/16431281/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
351,387,Mss Trade Limited,16431187,Yes,2025-05-06,Active,47910,"Office 387, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16431187,https://find-and-update.company-information.service.gov.uk/company/16431187/officers,https://find-and-update.company-information.service.gov.uk/company/16431187/filing-history,Companies House URL ready + open.endole.co.uk,user-provided,Retail via mail order/internet,,,,,,,,
352,388,Clocky Ltd,16433492,Yes,2025-05-07,Active,,"Office 388, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16433492,https://find-and-update.company-information.service.gov.uk/company/16433492/officers,https://find-and-update.company-information.service.gov.uk/company/16433492/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
353,389,Techlaya Marketing Agency Limited,16449970,Yes,2025-05-14,Active,,"Office 389, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16449970,https://find-and-update.company-information.service.gov.uk/company/16449970/officers,https://find-and-update.company-information.service.gov.uk/company/16449970/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
354,390,Santech Digital Ltd,16452737,Yes,2025-05-15,Active,,"Office 390, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16452737,https://find-and-update.company-information.service.gov.uk/company/16452737/officers,https://find-and-update.company-information.service.gov.uk/company/16452737/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
355,391,Briture Limited,16468229,Yes,2025-05-22,Active,,"Office 391, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16468229,https://find-and-update.company-information.service.gov.uk/company/16468229/officers,https://find-and-update.company-information.service.gov.uk/company/16468229/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
356,392,Socialmsco Ltd,14896875,Yes,2023-05-26,Active,,"Office 392, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£2,300",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14896875,https://find-and-update.company-information.service.gov.uk/company/14896875/officers,https://find-and-update.company-information.service.gov.uk/company/14896875/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
357,393,Controlsys Ltd,14892501,Yes,2023-05-24,Active,,"Office 393, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,-£264,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14892501,https://find-and-update.company-information.service.gov.uk/company/14892501/officers,https://find-and-update.company-information.service.gov.uk/company/14892501/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
358,394,Khatoon Trading Ltd,16481904,Yes,2025-05-29,Active,,"Office 394, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16481904,https://find-and-update.company-information.service.gov.uk/company/16481904/officers,https://find-and-update.company-information.service.gov.uk/company/16481904/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
359,395,Earn With Hasnain Ltd,16488459,Yes,2025-06-02,Active,,"Office 395, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16488459,https://find-and-update.company-information.service.gov.uk/company/16488459/officers,https://find-and-update.company-information.service.gov.uk/company/16488459/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
360,396,Hair Design Style Ltd,14905169,Yes,2023-05-31,Active,,"Office 396, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14905169,https://find-and-update.company-information.service.gov.uk/company/14905169/officers,https://find-and-update.company-information.service.gov.uk/company/14905169/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
361,397,Lovelyvita Ltd,14915200,Yes,2023-06-05,Active,,"Office 397, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,-£600,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14915200,https://find-and-update.company-information.service.gov.uk/company/14915200/officers,https://find-and-update.company-information.service.gov.uk/company/14915200/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
362,398,Vision Plus Technologies Ltd,13607314,Yes,2021-09-07,Active,,"Office 398, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£698,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/13607314,https://find-and-update.company-information.service.gov.uk/company/13607314/officers,https://find-and-update.company-information.service.gov.uk/company/13607314/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
363,399,Bein Writer Ltd,16488465,Yes,2025-06-02,Active,,"Office 399, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16488465,https://find-and-update.company-information.service.gov.uk/company/16488465/officers,https://find-and-update.company-information.service.gov.uk/company/16488465/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
364,400,Charming Store Ltd,16494870,Yes,2025-06-04,Active,,"Office 400, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16494870,https://find-and-update.company-information.service.gov.uk/company/16494870/officers,https://find-and-update.company-information.service.gov.uk/company/16494870/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
365,401,Logicswise Ltd,16497929,Yes,2025-06-05,Active,,"Office 401, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16497929,https://find-and-update.company-information.service.gov.uk/company/16497929/officers,https://find-and-update.company-information.service.gov.uk/company/16497929/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
366,402,Eco Enclave Ltd,16501175,Yes,2025-06-06,Active,,"Office 402, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16501175,https://find-and-update.company-information.service.gov.uk/company/16501175/officers,https://find-and-update.company-information.service.gov.uk/company/16501175/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
367,403,Corporate Prwire Ltd,16500331,Yes,2025-06-06,Active,,"Office 403, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16500331,https://find-and-update.company-information.service.gov.uk/company/16500331/officers,https://find-and-update.company-information.service.gov.uk/company/16500331/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
368,404,Dtech Seo Services Ltd,16524145,Yes,2025-06-17,Active,,"Office 404, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16524145,https://find-and-update.company-information.service.gov.uk/company/16524145/officers,https://find-and-update.company-information.service.gov.uk/company/16524145/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
369,405,Liberty Leads Ltd,16524067,Yes,2025-06-17,Active,,"Office 405, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16524067,https://find-and-update.company-information.service.gov.uk/company/16524067/officers,https://find-and-update.company-information.service.gov.uk/company/16524067/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
370,407,Rank Able Seo Services Ltd,16524816,Yes,2025-06-17,Active,,"Office 407, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16524816,https://find-and-update.company-information.service.gov.uk/company/16524816/officers,https://find-and-update.company-information.service.gov.uk/company/16524816/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
371,409,Give It Ltd,16579631,Yes,2025-07-14,Active,,"Office 409, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16579631,https://find-and-update.company-information.service.gov.uk/company/16579631/officers,https://find-and-update.company-information.service.gov.uk/company/16579631/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
372,410,Pure Med Recruitment Ltd,15798759,Yes,2024-06-24,Active,,"Office 410, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/15798759,https://find-and-update.company-information.service.gov.uk/company/15798759/officers,https://find-and-update.company-information.service.gov.uk/company/15798759/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
373,410,Crownline Security Ltd,16577258,Yes,2025-07-11,Active,,"Office 410, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/16577258,https://find-and-update.company-information.service.gov.uk/company/16577258/officers,https://find-and-update.company-information.service.gov.uk/company/16577258/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
374,411,Goods Cart Ltd,16187705,Yes,2025-01-16,Active,,"Office 411, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16187705,https://find-and-update.company-information.service.gov.uk/company/16187705/officers,https://find-and-update.company-information.service.gov.uk/company/16187705/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
375,412,Global Trade Hub Ltd,16890123,Yes,2025-11-12,Active,46900,"Office 412, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/16890123,https://find-and-update.company-information.service.gov.uk/company/16890123/officers,https://find-and-update.company-information.service.gov.uk/company/16890123/filing-history,Companies House URL ready + open.endole.co.uk,user-provided ★ Nov 2025,Non-specialised wholesale,,,,,,,,
376,412,Legacies Hub Ltd,16575752,Yes,2025-07-11,Active,,"Office 412, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/16575752,https://find-and-update.company-information.service.gov.uk/company/16575752/officers,https://find-and-update.company-information.service.gov.uk/company/16575752/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
377,413,Mamalco Ltd,16575753,Yes,2025-07-11,Active,,"Office 413, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16575753,https://find-and-update.company-information.service.gov.uk/company/16575753/officers,https://find-and-update.company-information.service.gov.uk/company/16575753/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
378,414,As Studiios Limited,16587239,Yes,2025-07-16,Active,,"Office 414, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16587239,https://find-and-update.company-information.service.gov.uk/company/16587239/officers,https://find-and-update.company-information.service.gov.uk/company/16587239/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
379,415,Hoodiesads Ltd,16586021,Yes,2025-07-16,Active,,"Office 415, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16586021,https://find-and-update.company-information.service.gov.uk/company/16586021/officers,https://find-and-update.company-information.service.gov.uk/company/16586021/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
380,416,Peerpie Ltd,16587550,Yes,2025-07-16,Active,,"Office 416, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16587550,https://find-and-update.company-information.service.gov.uk/company/16587550/officers,https://find-and-update.company-information.service.gov.uk/company/16587550/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
381,417,Verve Services Ltd,16591707,Yes,2025-07-18,Active,,"Office 417, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16591707,https://find-and-update.company-information.service.gov.uk/company/16591707/officers,https://find-and-update.company-information.service.gov.uk/company/16591707/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
382,418,Farhantariq Ltd,16588107,Yes,2025-07-17,Active,,"Office 418, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16588107,https://find-and-update.company-information.service.gov.uk/company/16588107/officers,https://find-and-update.company-information.service.gov.uk/company/16588107/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
383,419,Buynero Ltd,16592376,Yes,2025-07-18,Active,,"Office 419, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16592376,https://find-and-update.company-information.service.gov.uk/company/16592376/officers,https://find-and-update.company-information.service.gov.uk/company/16592376/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
384,420,Tokfollowers Ltd,16594983,Yes,2025-07-21,Active,,"Office 420, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16594983,https://find-and-update.company-information.service.gov.uk/company/16594983/officers,https://find-and-update.company-information.service.gov.uk/company/16594983/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
385,421,Dexter Seo Lab Ltd,16595233,Yes,2025-07-21,Active,,"Office 421, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16595233,https://find-and-update.company-information.service.gov.uk/company/16595233/officers,https://find-and-update.company-information.service.gov.uk/company/16595233/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
